L000001 | # PLAN-RES-001 — Resilience, Recovery, and Disaster Readiness
L000002 | 
L000003 | - **Plan ID:** `PLAN-RES-001`
L000004 | - **Status:** `PARTIALLY_IMPLEMENTED`
L000005 | - **Authority:** source-derived requirements plus explicitly labeled implementation detail
L000006 | - **Source basis:** `GOV-001:L000621-L000641`, `GOV-001:L001666-L001680`, `SRC-012:L000001-L000100`, `SRC-015:L000003-L000112`
L000007 | 
L000008 | ## PLAN-RES-001:SEC-01 Failure domains
L000009 | 
L000010 | The Recovery Director models provider, API, network, machine, database, external-system, quota, budget, GPU, and optional cloud failure domains. Deterministic decisions select `FULL`, `DEGRADED`, `LOCAL_FIRST`, `RECOVERY`, `PAUSED`, or `EMERGENCY_STOP` behavior without delegating authority to a model or provider.
L000011 | 
L000012 | ## PLAN-RES-001:SEC-02 Durable state and fenced failover
L000013 | 
L000014 | Control-machine takeover fails closed unless the active lease is expired or fenced, the candidate is healthy and explicitly assigned a standby/recovery role, and an independent witness confirms takeover. The next fencing token is monotonic and reconciliation is mandatory before authoritative commits. Durable workflow checkpoints and resource leases remain the source for recoverable execution state.
L000015 | 
L000016 | ## PLAN-RES-001:SEC-03 Degraded and local-first operation
L000017 | 
L000018 | Optional provider/cloud/GPU failures preserve deterministic control and unrelated work. Network/cloud loss selects `LOCAL_FIRST`; canonical-state failure selects `RECOVERY`. Capability substitution preserves task semantics and never weakens acceptance, policy, or evidence requirements.
L000019 | 
L000020 | ## PLAN-RES-001:SEC-04 Autonomous external-precondition recovery
L000021 | 
L000022 | A scoped `BLOCKED_EXTERNAL` incident records the unavailable capability, affected domain, blocked work, unaffected work, autonomous repair/recheck probes, and stale assumptions. After the condition changes, the system verifies the repair, invalidates stale assumptions, reconciles state, and resumes only eligible work. Machine-readable runbooks define prerequisites, policy-authorized actions, stop conditions, verification, and autonomous escalation without assigning work outside ProjectPipeline.
L000023 | 
L000024 | ## PLAN-RES-001:SEC-05 Recovery objectives and backup
L000025 | 
L000026 | Configured engineering targets are: canonical state RPO 5 minutes/RTO 30 minutes; repository WIP RPO 15 minutes/RTO 30 minutes; evidence and operator history RPO/RTO 60 minutes; artifacts RPO 60 minutes/RTO 120 minutes. pgBackRest is selected for PostgreSQL-specific backup/restore and restic for portable encrypted repository/artifact protection. Backup status is always distinct from isolated restore-verification status.
L000027 | 
L000028 | ## PLAN-RES-001:SEC-06 Local intelligence and outage fallback
L000029 | 
L000030 | Ollama, llama.cpp, and optional llama-swap are behind a provider-neutral local gateway. They may support triage, summarization, review, routing assistance, and outage fallback while remaining advisory-only. Model/runtime availability never establishes control authority or completion.
L000031 | 
L000032 | ## PLAN-RES-001:SEC-07 Optional cloud recovery spine
L000033 | 
L000034 | The default architecture remains local-primary. An optional AWS support plane may provide a lease witness, durable event queue, recovery storage, watchdog/ingress, observability, budget controls, and bounded recovery. Cloud outage/removal must leave local project truth intact. The repository contains disabled-by-default IaC; it does not claim a live deployment.
L000035 | 
L000036 | ## PLAN-RES-001:SEC-08 Verification boundary
L000037 | 
L000038 | Repeatable simulations cover provider loss, control-machine loss, split-brain denial, AWS/network outage, backup/restore planning, and GPU unavailability. External binaries/services and destructive real restores remain separately qualified evidence gates before production-readiness claims.
